id,question,A,B,C,Answerkey
101,What's wrong with your arms?,My arms hurt.,I have two arms.,"Yes, they are.",A
102,Does Rita have a headache?,"Yes, she does.",She has a book.,She is in the park.,A
103,What would you like for dinner?,I'd like some soup.,I'd like some shoes.,I'm seven.,A
104,Whose glasses are these?,They're my glasses.,It is a glass.,They are small.,A
105,Would you like some chicken for lunch?,"Yes, please.","No, I'm not.",I like chickens.,A
106,What's wrong with Arthur?,His foot hurts.,He is my student.,He is ten.,A
107,Do you have a sore throat?,"No, I don't.",My throat is long.,I like water.,A
108,Whose cap is that?,It's Roy's cap.,It's a red cap.,I have a cap.,A
109,How many koalas are there?,There are six.,I like koalas.,Koalas are cute.,A
110,What would you like to drink?,I'd like some milk.,I'd like some bread.,I'm hungry.,A
111,Does he have a runny nose?,"Yes, he does.",He is running fast.,It is a nose.,A
112,Is this your workbook?,"No, it isn't.",I am working.,It's a book.,A
113,What's the matter with her?,She has a fever.,She is my sister.,I am fine.,A
114,Would you like some bread?,"No, thank you.",I like bread.,It's bread.,A
115,Whose umbrella is this?,It's mine.,It's raining.,I have an umbrella.,A
116,Can you give me a hand?,"Sure, no problem.",I have two hands.,This is a hand.,A
117,What's wrong? You look pale.,My stomach hurts.,I am pale.,You're welcome.,A
118,Do you have a fever?,"Yes, I do.",It's hot.,I like fever.,A
119,What's wrong with your nose?,My nose hurts.,I have a nose.,It is small.,A
120,Whose water bottle is that?,It's Felicia's.,It's a bottle.,I am thirsty.,A
121,What do we see at the festival?,A dragon boat.,A Christmas tree.,A school.,A
122,Can we watch the race today?,"Yes, let's go!",I like racing.,It's a boat.,A
123,What day is today?,It's Wednesday.,I'm ten.,It's a day.,A
124,Whose shoes are those?,They're his shoes.,I am running.,It's a shoe.,A
125,Are these your glasses?,"No, they aren't.",I like glasses.,It's a glass.,A
126,Is it Tuesday today?,"No, it's Monday.",I'm fine.,It's a day.,A
127,Do you have music class on Friday?,"Yes, I do.","Yes, I am.",I like music.,A
128,Does he have art class on Thursday?,"No, he doesn't.",I like art.,It's a class.,A
129,Where are you going?,I'm going to the museum.,I am a student.,It's Monday.,A
130,Where's the bank?,It's on Red Street.,I like the bank.,It's a big bank.,A
131,How many turtles are there?,There are three.,I like turtles.,Turtles are slow.,A
132,Does she like elephants?,"Yes, she does.",She is an elephant.,It's big.,A
133,What's your favorite subject?,I like PE.,I'm PE.,It's a ball.,A
134,Are you going to the bookstore?,"No, I'm going to the park.","Yes, I am a bookstore.",The book is good.,A
135,How many lions are there?,There is one lion.,I like lions.,Lions are big.,A
136,Do you like zebras?,"No, I don't.","Yes, it is a zebra.",Zebras are cool.,A
137,Is it Friday today?,"Yes, it is.",I like Friday.,"No, I'm not.",A
138,Does she have science class today?,"Yes, she does.",She likes science.,It's science.,A
139,Where is he going?,He's going to the hospital.,He is a boy.,The doctor is nice.,A
140,Is the park near the school?,"Yes, it is.",I like the park.,It's a school.,A
141,How many tigers are there?,There are five tigers.,Tigers are fast.,I see a tiger.,A
142,Does he like horses?,"No, he doesn't.",He is a horse.,Horses are big.,A
143,What's in the stocking?,A candy cane.,It's a stocking.,I like Christmas.,A
144,Merry Christmas!,Merry Christmas!,You're welcome.,I'm sorry.,A
145,Who is coming?,Santa Claus is coming.,It's a gift.,I have a gift.,A
146,Where is the star?,It's on the tree.,It is yellow.,I like stars.,A
147,Do you like Christmas?,"Yes, I do.","Yes, it is.","No, I'm not.",A
148,What day is it today?,It's Saturday.,I like Saturday.,"Yes, I am.",A
149,Is the museum open?,"Yes, it is.",I like museums.,It's a museum.,A
150,Let's go watch the race.,Good idea!,It is a race.,I am fast.,A
