id,question,A,B,C,Answerkey,,,,,,
1,How's the weather?,It's sunny.,"Yes, it is.",I'm happy.,A,,,,,,
2,Is it cold today?,"Yes, it is.",It's windy.,"No, I'm not.",A,,,,,,
3,Are you thirsty?,"Yes, I am.","No, I don't.",He is tired.,A,,,,,,
4,Is she tired?,"Yes, she is.","Yes, I am.","No, she don't.",A,,,,,,
5,What are these?,They're oranges.,They're apple.,It's an orange.,A,,,,,,
6,Do you like apples?,"Yes, I do.","No, I'm not.","Yes, I am.",A,,,,,,
7,What are those?,They're bananas.,It's a banana.,I like bananas.,A,,,,,,
8,Do you like watermelons?,"No, I don't.","Yes, I am.","No, I'm not.",A,,,,,,
9,Do you want some juice?,"Yes, I please.","No, I'm not.","No, please.",A,,,,,,
10,What do you want?,I want some milk.,"Yes, I do.",I want a water.,A,,,,,,
11,What time is it?,It's four o'clock.,It's four thirty o'clock.,I'm four.,A,,,,,,
12,What time is it?,It's seven thirty.,It seven thirty.,It's seven thirty o'clock.,A,,,,,,
13,Are you and your sister hungry?,"Yes, we are.","No, she isn't.","Yes, I do.",A,,,,,,
14,What are those on the table?,They're watermelons.,It's a watermelon.,I like watermelons.,A,,,,,,
15,Is he swimming in the gym?,"Yes, he is.","No, he isn't swim.","Yes, he's swim.",A,,,,,,
16,What are you doing?,I'm writing.,I'm write.,I writing.,A,,,,,,
17,What's he doing?,He's swimming.,He is swim.,He swimming.,A,,,,,,
18,What's she doing?,She's reading.,She is read.,She reading.,A,,,,,,
19,Where are you?,I'm in the bedroom.,I'm at bedroom.,I'm on the bedroom.,A,,,,,,
20,Where's Teddy?,He's in the dining room.,It's in the dining room.,He's in dining room.,A,,,,,,
21,Where is your uncle?,He's in the kitchen.,He's very tall.,He's fine.,A,,,,,,
22,Where's my pen?,It's on the box.,It's a pen.,They're on the box.,A,,,,,,
23,Where's the bag?,It's under the desk.,They're under the desk.,It's under desk.,A,,,,,,
24,Where is the cat?,It's in the box.,It's on the box.,It's under the box.,A,,,,,,
25,Is he in the yard?,"Yes, he is.","No, she isn't.","Yes, I am.",A,,,,,,
26,How's the weather?,It's sunny.,"Yes, it is.",I'm happy.,A,,,,,,
27,Is it cold today?,"Yes, it is.",It's windy.,"No, I'm not.",A,,,,,,
28,Are you thirsty?,"Yes, I am.",He is tired.,"No, I don't.",A,,,,,,
29,Is she tired?,"Yes, she is.","Yes, I am.","No, she don't.",A,,,,,,
30,What are these?,They're oranges.,It's an orange.,They're apple.,A,,,,,,
31,Do you like apples?,"Yes, I do.","No, I'm not.","Yes, I am.",A,,,,,,
32,What are those?,They're bananas.,I like bananas.,It's a banana.,A,,,,,,
33,Do you like watermelons?,"No, I don't.","Yes, I am.","No, I'm not.",A,,,,,,
34,Do you want some juice?,"Yes, please.","No, you don't.","No, I'm not.",A,,,,,,
35,What do you want?,I want some juice.,I want a milk.,"Yes, I do.",A,,,,,,
36,What time is it?,It's four o'clock.,I'm four.,It's four thirty o'clock.,A,,,,,,
37,What time is it?,It's seven thirty.,It seven thirty.,It's seven thirty o'clock.,A,,,,,,
38,Where are the books?,They're under the bed.,It's under the bed.,There are books.,A,,,,,,
39,It's 7:30. Time for school.,Hurry up!,I'm fine.,Thank you.,A,,,,,,
40,What are you doing?,I'm reading a book.,I'm read a book.,I reading a book.,A,,,,,,
41,What are you doing?,I'm writing.,I'm write.,I writing.,A,,,,,,
42,What's he doing?,He's swimming.,He swimming.,He is swim.,A,,,,,,
43,What's she doing?,She's reading.,She reading.,She is read.,A,,,,,,
44,Where are you?,I'm in the bedroom.,I'm on the bedroom.,I'm at bedroom.,A,,,,,,
45,Where's Teddy?,He's in the dining room.,He's in dining room.,It's in the dining room.,A,,,,,,
46,Where is your grandma?,She's in the kitchen.,She's in the yard.,She's in the bathroom.,A,,,,,,
47,Where's my book?,It's red.,It's on the box.,They're on the box.,A,,,,,,
48,Where's the bag?,It's under the desk.,They're under the desk.,It's under desk.,A,,,,,,
49,Where is the cat?,It's in the box.,It's on the box.,It's under the box.,A,,,,,,
50,Is he in the yard?,"Yes, he is.","Yes, I am.","No, she isn't.",A,,,,,,
,,,,,,,,,,,
